Time (s),Mass (kg),,Pull force (kg)
8.61717701,65.2524,,-1.42495
8.62942791,65.7544,,-1.92695
8.645676851,66.2167,,-2.38925
8.658569098,66.364,,-2.53655
8.670347929,66.6586,,-2.83115
8.682577133,67.0264,,-3.19895
8.694863081,67.2995,,-3.47205
8.707397938,67.432,,-3.60455
8.719514132,67.2016,,-3.37415
8.731774092,66.6317,,-2.80425
8.744211197,66.0522,,-2.22475
8.760685921,65.7413,,-1.91385
8.772732973,65.5096,,-1.68215
8.78499794,65.244,,-1.41655
8.797407866,64.8311,,-1.00365
8.810036898,63.9482,,-0.12075
8.821937084,63.7376,,0.08985
8.834142208,63.9351,,-0.10765
8.84658289,64.9168,,-1.08935
8.859166861,66.0002,,-2.17275
8.875076056,66.8493,,-3.02185
8.887410164,67.4661,,-3.63865
8.899647951,67.5854,,-3.75795
8.911999941,67.2116,,-3.38415
8.92513299,66.2012,,-2.37375
8.936571121,64.7736,,-0.94615
8.948954105,63.4372,,0.39025
8.961622953,62.6432,,1.18425
8.973793983,62.7545,,1.07295
8.98583889,64.6278,,-0.80035
9.00209713,65.4066,,-1.57915
9.014643192,65.9735,,-2.14605
9.026715994,66.382,,-2.55455
9.039437056,66.8165,,-2.98905
9.05124402,67.3933,,-3.56585
9.063689947,68.1543,,-4.32685
9.076084852,68.7923,,-4.96485
9.08838892,68.9056,,-5.07815
9.100606918,68.4398,,-4.61235
9.116755009,67.6523,,-3.82485
9.129139185,66.8242,,-2.99675
9.141875029,66.0694,,-2.24195
9.153795958,64.9145,,-1.08705
9.16634798,64.769,,-0.94155
9.178203106,64.9289,,-1.10145
9.190621138,65.1735,,-1.34605
9.202920914,65.4116,,-1.58415
9.215267897,65.7406,,-1.91315
9.231385946,66.2356,,-2.40815
9.243740082,66.7788,,-2.95135
9.256150007,67.1624,,-3.33495
9.268460035,67.3254,,-3.49795
9.280586958,67.3455,,-3.51805
9.293278933,67.2084,,-3.38095
9.305372,66.9137,,-3.08625
9.317692995,66.4119,,-2.58445
9.329956055,65.7919,,-1.96445
9.346138954,65.8424,,-2.01495
9.358462095,65.9496,,-2.12215
9.370840073,65.8458,,-2.01835
9.382977009,65.4072,,-1.57975
9.395469904,64.7849,,-0.95745
9.40787077,63.9069,,-0.07945
9.41996789,62.7005,,1.12695
9.432209015,61.3295,,2.49795
9.444699049,60.072,,3.75545
9.461508036,59.1833,,4.64415
9.473373175,58.8235,,5.00395
9.485327005,59.3356,,4.49185
9.497717857,64.3758,,-0.54835
9.510142088,67.7047,,-3.87725
9.523254871,70.8953,,-7.06785
9.534735918,72.4746,,-8.64715
9.547075033,72.3592,,-8.53175
9.560115814,71.127,,-7.29955
9.575838089,69.0845,,-5.25705
9.587759972,66.8237,,-2.99625
9.600027084,64.9561,,-1.12865
9.612441063,63.6985,,0.12895
9.6258111,63.1097,,0.71775
9.637037039,63.1175,,0.70995
9.64976716,63.4957,,0.33175
9.661634922,65.0921,,-1.26465
9.674593925,66.0755,,-2.24805
9.686255932,67.0654,,-3.23795
9.702419758,67.9284,,-4.10095
9.714773893,68.5524,,-4.72495
9.727097034,68.7745,,-4.94705
9.739441156,68.6303,,-4.80285
9.751721859,68.1189,,-4.29145
9.764105797,67.252,,-3.42455
9.776307821,66.1131,,-2.28565
9.788954973,64.9683,,-1.14085
9.800959826,64.0692,,-0.24175
9.817704916,63.5306,,0.29685
9.829464912,63.2257,,0.60175
9.842130184,63.2134,,0.61405
9.854114056,63.5292,,0.29825
9.866286039,64.1538,,-0.32635
9.878704071,65.0199,,-1.19245
9.891039848,65.9308,,-2.10335
9.903411865,66.7245,,-2.89705
9.915694952,67.2654,,-3.43795
9.931781054,67.5615,,-3.73405
9.944195032,67.6211,,-3.79365
9.95652914,67.4336,,-3.60615
9.968933105,67.1119,,-3.28445
9.981269836,66.709,,-2.88155
9.994019032,66.3066,,-2.47915
10.005795,66.1892,,-2.36175
10.01858497,66.5861,,-2.75865
10.03015995,67.0427,,-3.21525
10.04645896,67.3028,,-3.47535
10.05938601,67.3329,,-3.50545
10.07121396,67.1687,,-3.34125
10.08344197,66.8331,,-3.00565
10.09569192,66.3954,,-2.56795
10.10803914,66.0302,,-2.20275
10.1202569,65.7875,,-1.96005
10.13287997,65.6197,,-1.79225
10.14496088,65.4781,,-1.65065
10.16122699,65.2717,,-1.44425
10.17353201,64.9654,,-1.13795
10.18576884,64.9645,,-1.13705
10.19819903,65.0999,,-1.27245
10.21041083,65.323,,-1.49555
10.22276092,65.5592,,-1.73175
10.23490286,65.6091,,-1.78165
10.24739695,65.3929,,-1.56545
10.25980687,65.0461,,-1.21865
10.27191806,64.6869,,-0.85945
10.28810906,64.3439,,-0.51645
10.30064893,64.0144,,-0.18695
10.31282496,63.6488,,0.17865
10.32508993,63.3711,,0.45635
10.33737803,63.2298,,0.59765
10.34970784,63.6528,,0.17465
10.36191297,64.0561,,-0.22865
10.374331,64.4968,,-0.66935
10.38649011,64.8236,,-0.99615
10.402812,64.8987,,-1.07125
10.41520596,64.6447,,-0.81725
10.42744994,64.1734,,-0.34595
10.439749,63.7282,,0.09925
10.45220494,63.4751,,0.35235
10.46435404,63.4361,,0.39135
10.47699285,63.4207,,0.40675
10.48892093,63.3409,,0.48655
10.50142097,63.1722,,0.65525
10.51750708,63.1722,,0.65525
10.52983117,63.4756,,0.35185
10.54264212,63.8418,,-0.01435
10.55437708,64.1933,,-0.36585
10.56686997,64.3875,,-0.56005
10.57901716,64.3975,,-0.57005
10.59156895,64.2372,,-0.40975
10.60374808,63.8879,,-0.06045
10.61620116,63.5108,,0.31665
10.63211679,63.1933,,0.63415
10.64524198,63.0249,,0.80255
10.65691519,63.079,,0.74845
10.66979384,63.3298,,0.49765
10.681499,63.7068,,0.12065
10.693712,64.4565,,-0.62905
10.70604992,64.6037,,-0.77625
10.71841097,64.5057,,-0.67825
10.73054719,64.2055,,-0.37805
10.74682593,63.8707,,-0.04325
10.76026416,63.6599,,0.16755
10.77156186,63.6741,,0.15335
10.78376389,63.9511,,-0.12365
10.79603195,64.4432,,-0.61575
10.80843782,65.0008,,-1.17335
10.82062984,65.5216,,-1.69415
10.83300281,65.884,,-2.05655
10.84539795,65.9957,,-2.16825
10.86157894,65.6641,,-1.83665
10.87385988,65.2453,,-1.41785
10.88610816,64.7464,,-0.91895
10.89854789,64.1983,Weight,-0.37085
10.91081595,63.7633,63.827448,0.06415
10.92316794,63.4932,,0.33425
10.93536615,63.4171,,0.41035
10.94789505,63.4674,,0.36005
10.9605329,63.568,,0.25945
10.97231507,63.6314,,0.19605
10.98854709,63.678,,0.14945
11.00083494,63.7768,,0.05065
11.01311898,64.0145,,-0.18705
11.02607894,64.6426,,-0.81515
11.03772783,64.7112,,-0.88375
11.05005407,64.5982,,-0.77075
11.06245494,64.4057,,-0.57825
11.07485986,64.2488,,-0.42135
11.08693004,64.1767,,-0.34925
11.10326385,64.0168,,-0.18935
11.11553407,63.7337,,0.09375
11.12789011,63.4416,,0.38585
11.14033914,63.2815,,0.54595
11.15257788,63.2401,,0.58735
11.16476893,63.2983,,0.52915
11.17726207,63.3934,,0.43405
11.18926883,63.4984,,0.32905
11.20251584,63.8715,,-0.04405
11.21801805,64.08,,-0.25255
11.23063898,64.1858,,-0.35835
11.24303985,64.0938,,-0.26635
11.25487304,63.9959,,-0.16845
11.2673471,63.9195,,-0.09205
11.27946687,63.8732,,-0.04575
11.29174113,63.898,,-0.07055
11.30409908,63.9884,,-0.16095
11.316401,64.1609,,-0.33345
11.332654,64.2404,,-0.41295
11.34496903,64.1645,,-0.33705
11.35729504,63.9742,,-0.14675
11.36953998,63.6651,,0.16235
11.38201213,63.5708,,0.25665
11.39417791,63.6159,,0.21155
11.40643692,63.7705,,0.05695
11.41876101,63.8928,,-0.06535
11.43092299,64.0144,,-0.18695
11.44769979,64.238,,-0.41055
11.45960212,64.5747,,-0.74725
11.47184992,64.9348,,-1.10735
11.48419404,65.249,,-1.42155
11.4965589,65.4779,,-1.65045
11.50963497,65.6172,,-1.78975
11.52151704,65.6401,,-1.81265
11.53347182,65.1684,,-1.34095
11.54574203,64.7454,,-0.91795
11.56190515,64.3253,,-0.49785
11.57435989,63.9705,,-0.14305
11.58688807,63.608,,0.21945
11.59888411,63.2869,,0.54055
11.61132407,63.1178,,0.70965
11.62385607,63.0863,,0.74115
11.63583994,63.1603,,0.66715
11.64840317,63.3612,,0.46625
11.66047096,63.5495,,0.27795
11.67307591,63.7568,,0.07065
11.68887377,64.0669,,-0.23945
11.70134115,64.4103,,-0.58285
11.71455884,64.2044,,-0.37695
11.72632217,63.8257,,0.00175
11.73820686,63.5626,,0.26485
11.75049591,63.4521,,0.37535
11.76729417,63.4663,,0.36115
11.77902794,63.5443,,0.28315
11.79155493,63.6154,,0.21205
11.80372691,63.6462,,0.18125
11.81608009,63.6224,,0.20505
11.82879996,63.585,,0.24245
11.84463882,63.432,,0.39545
11.85693407,63.3515,,0.47595
11.86922789,63.265,,0.56245
11.88153791,63.1977,,0.62975
11.89525485,63.1342,,0.69325
11.91006613,63.077,,0.75045
11.92236209,63.0657,,0.76175
11.93472099,63.2046,,0.62285
11.94701195,63.4932,,0.33425
11.96055102,63.8406,,-0.01315
11.97168088,64.4506,,-0.62315
11.98789501,64.6841,,-0.85665
12.00023103,64.7829,,-0.95545
12.01256394,64.6546,,-0.82715
