Time (s),Mass (kg),Average mass (kg),Pull force (kg)
7.787612915,0.0078,,65.8852
7.799894094,0.0203,,65.8727
7.812148094,0.0124,,65.8806
7.824480772,0.0139,,65.8791
7.836797953,0.024,,65.869
7.849061966,0.0231,,65.8699
7.861419678,0.0109,,65.8821
7.87378788,0.0284,,65.8646
7.888534784,0.0085,,65.8845
7.898146868,0.0056,,65.8874
7.910520792,0.0036,,65.8894
7.922823906,0.0047,,65.8883
7.935248852,0.0125,,65.8805
7.947330713,0.0007,,65.8923
7.960180044,0.0342,,65.8588
7.972026825,0.0309,,65.8621
7.988263845,0.0288,,65.8642
8.000447989,0.0048,,65.8882
8.012824774,0.011,,65.882
8.025100708,0.0368,,65.8562
8.037457943,0.0365,,65.8565
8.049658775,0.0175,,65.8755
8.062289953,0.0052,,65.8878
8.074506998,0.0015,,65.8915
8.087179899,0.0193,,65.8737
8.098869085,0.0175,,65.8755
8.111269951,0.006,,65.887
8.123510122,0.0064,,65.8866
8.135772943,0.0114,,65.8816
8.14811182,0.0025,,65.8905
8.160549879,0.0003,,65.8927
8.173024893,0.0065,,65.8865
8.185035706,0.011,,65.882
8.197375059,0.019,,65.874
8.20950985,0.0211,,65.8719
8.221877098,0.0087,,65.8843
8.234244823,0.0041,,65.8889
8.246348858,0.0025,,65.8905
8.262598991,0.0393,,65.8537
8.274965048,0.0177,,65.8753
8.287244797,0.0015,,65.8915
8.299495935,0.0232,,65.8698
8.311919928,0.0224,,65.8706
8.324085951,0.0005,,65.8925
8.337203979,0.012,,65.881
8.348649979,0.0083,,65.8847
8.361075878,0.004,,65.889
8.373445988,0.0014,,65.8916
8.38572073,0.0098,,65.8832
8.397911787,0.0037,,65.8893
8.410251856,0.0094,,65.8836
8.422543764,0.0148,,65.8782
8.434809923,0.0062,,65.8868
8.447036028,0.0197,,65.8733
8.460140705,0.0177,,65.8753
8.471841812,0.0023,,65.8907
8.484230995,0.0015,,65.8915
8.496205807,0.0256,,65.8674
8.508691072,0.0196,,65.8734
8.520870924,0.0039,,65.8891
8.537055969,0.0098,,65.8832
8.54930687,0.0215,,65.8715
8.561593771,0.0188,,65.8742
8.573944807,0.0269,,65.8661
8.586615801,0.015,,65.878
8.598465919,0.0034,,65.8896
8.610821962,0.0159,,65.8771
8.623470783,0.0132,,65.8798
8.635457754,0.0104,,65.8826
8.647702694,0.001,,65.892
8.660068989,0.0188,,65.8742
8.672344923,0.0024,,65.8906
8.684760809,0.0023,,65.8907
8.696915865,0.0113,,65.8817
8.709196806,0.0143,,65.8787
8.721504688,0.0261,,65.8669
8.733699799,0.0154,,65.8776
8.746037006,0.0157,,65.8773
8.758564949,0.0025,,65.8905
8.77064991,0.0086,,65.8844
8.783041,0.007,,65.886
8.795253992,0.0008,,65.8922
8.811420918,0.0199,,65.8731
8.824045897,0.0023,,65.8907
8.836483955,0.0081,,65.8849
8.848299742,0.0372,,65.8558
8.861104965,0.0174,,65.8756
8.873720884,0.0045,,65.8885
8.885256052,0.0145,,65.8785
8.897531986,0.0171,,65.8759
8.909873962,0.0183,,65.8747
8.922134876,0.03,,65.863
8.934685946,0.0396,,65.8534
8.946683884,0.0283,,65.8647
8.958984852,0.026,,65.867
8.97141099,0.0321,,65.8609
8.983637094,0.0072,,65.8858
8.995969772,0.0001,,65.8929
9.008162737,0.0065,,65.8865
9.022015095,0.0048,,65.8882
9.032868862,0.0147,,65.8783
9.04541707,0.0056,,65.8874
9.057405949,0.0071,,65.8859
9.070498943,0.015,,65.878
9.085875034,0.0041,,65.8889
9.098156929,0.0167,,65.8763
9.110537052,0.0045,,65.8885
9.12323904,0.0281,,65.8649
9.135095835,0.0181,,65.8749
9.147386789,0.0149,,65.8781
9.159678936,0.0044,,65.8886
9.17202282,0.0063,,65.8867
9.184207916,0.0065,,65.8865
9.196616888,0.0061,,65.8869
9.208845854,0.0288,,65.8642
9.221409798,0.0281,,65.8649
9.233525991,0.012,,65.881
9.245793819,0.008,,65.885
9.258090973,0.0055,,65.8875
9.270966768,0.0027,,65.8903
9.282596827,0.0009,,65.8921
9.295007944,0.0107,,65.8823
9.307265043,0.0016,,65.8914
9.319865942,0.0118,,65.8812
9.331936121,0.0143,,65.8787
9.344174862,0.0073,,65.8857
9.360286951,0.0021,,65.8909
9.372670889,0.0167,,65.8763
9.385000944,0.0019,,65.8911
9.397130013,0.0208,,65.8722
9.409470081,0.0226,,65.8704
9.421913862,0.0176,,65.8754
9.434129953,0.0105,,65.8825
9.446352959,0.0272,,65.8658
9.458902836,0.0184,,65.8746
9.470946789,0.0082,,65.8848
9.483219862,0.0079,,65.8851
9.495564699,0.0198,,65.8732
9.507823944,0.0189,,65.8741
9.520859957,0.0058,,65.8872
9.53252387,0.0003,,65.8927
9.544770718,0.0015,,65.8915
9.556994915,0.0005,,65.8925
9.569586039,0.0066,,65.8864
9.581635952,0.0067,,65.8863
9.594028711,0.0182,,65.8748
9.606257915,0.0102,,65.8828
9.618667126,0.0207,,65.8723
9.634710073,0.0189,,65.8741
9.647007942,0.012,,65.881
9.659277916,0.0075,,65.8855
9.671589851,0.0051,,65.8879
9.684030056,0.0209,,65.8721
9.696484804,0.0117,,65.8813
9.708450794,0.0211,,65.8719
9.720814943,0.0363,,65.8567
9.73307395,0.0184,,65.8746
9.745494843,0.025,,65.868
9.757818937,0.019,,65.874
9.770786762,0.0074,,65.8856
9.782377005,0.0088,,65.8842
