Time (s),Mass (kg),Average weight,Pull force (kg)
7.885797977,0.0034,,80.1166
7.897044897,0.0013,,80.1187
7.912402868,0.0116,,80.1084
7.926618099,0.0126,,80.1074
7.937520742,0.0264,,80.0936
7.950018883,0.0043,,80.1157
7.962086916,0.0101,,80.1099
7.974692106,0.0056,,80.1144
7.987560749,0.0046,,80.1154
7.999324799,0.0067,,80.1133
8.011339903,0.0059,,80.1141
8.023638964,0.0126,,80.1074
8.037267923,0.0171,,80.1029
8.048319817,0.0148,,80.1052
8.061025858,0.016,,80.104
8.07288599,0.0089,,80.1111
8.085090876,0.0099,,80.1101
8.097414017,0.0132,,80.1068
8.110118151,0.0127,,80.1073
8.122452974,0.0042,,80.1158
8.134523153,0.0124,,80.1076
8.169149876,0.0004,,80.1196
8.171789885,0.0035,,80.1165
8.198311806,0.0038,,80.1162
8.199381828,0.0006,,80.1194
8.200530767,0.0042,,80.1158
8.213687897,0.0046,,80.1154
8.224994898,0.0086,,80.1114
8.236869097,0.0174,,80.1026
8.248857021,0.0097,,80.1103
8.261142015,0.0009,,80.1191
8.273443937,0.0212,,80.0988
8.285779953,0.025,,80.095
8.298070908,0.0015,,80.1185
8.310372114,0.0175,,80.1025
8.322638988,0.001,,80.119
8.335357904,0.013,,80.107
8.347244024,0.0067,,80.1133
8.359592915,0.0104,,80.1096
8.372236967,0.0143,,80.1057
8.384409904,0.0163,,80.1037
8.402239799,0.0235,,80.0965
8.41749692,0.0183,,80.1017
8.420978785,0.002,,80.118
8.434726715,0.0175,,80.1025
8.445591927,0.0135,,80.1065
8.461791992,0.041,,80.079
8.474221945,0.0061,,80.1139
8.486356974,0.0061,,80.1139
8.498642921,0.0187,,80.1013
8.512746811,0.008,,80.112
8.526385784,0.0116,,80.1084
8.536873817,0.0067,,80.1133
8.548316717,0.0016,,80.1184
8.560506105,0.0051,,80.1149
8.572793961,0.0036,,80.1164
8.584680796,0.0056,,80.1144
8.597072124,0.0025,,80.1175
8.609324932,0.0071,,80.1129
8.624633074,0.0156,,80.1044
8.633851767,0.0075,,80.1125
8.65033102,0.0041,,80.1159
8.658516884,0.0102,,80.1098
8.670845747,0.001,,80.119
8.683252811,0.0136,,80.1064
8.6959548,0.0046,,80.1154
8.707844019,0.0094,,80.1106
8.720164061,0.0217,,80.0983
8.738460779,0.0053,,80.1147
8.748733759,0.0025,,80.1175
8.764243841,0.0003,,80.1197
8.774228811,0.0235,,80.0965
8.785356045,0.0245,,80.0955
8.797702789,0.0057,,80.1143
8.810009956,0.0188,,80.1012
8.822523117,0.021,,80.099
8.834652901,0.0234,,80.0966
8.847973108,0.0095,,80.1105
8.859304905,0.0052,,80.1148
8.872064829,0.0178,,80.1022
8.88477993,0.0075,,80.1125
8.89637804,0.0099,,80.1101
